C;1;1;0.43855
O;2;2;-0.47396
C;3;3;-0.49394
H;4;4;0.17703
H;5;4;0.1478
H;6;4;0.16418
N;7;7;-0.40437
H;8;8;0.257
C;9;9;-0.10043
H;10;10;0.14962
C;11;11;-0.26805
C;12;12;0.47315
H;13;13;0.13718
H;14;13;0.15348
C;15;15;-0.27535
O;16;16;-0.6091
H;17;17;0.14588
H;18;17;0.1506
C;19;19;-0.16933
H;20;20;0.15313
H;21;20;0.1573
N;22;22;-0.28024
H;23;23;0.30505
C;24;24;0.40613
N;25;25;-0.47066
N;26;25;-0.48426
H;27;27;0.32218
H;28;27;0.3119
H;29;27;0.31538
H;30;27;0.311
O;31;16;-0.64683
