H;1;1;0.14806193
H;2;1;0.14806193
N;3;3;-0.49362322
H;4;4;0.29350047
C;5;5;-0.17567716
H;6;6;0.14094993
C;7;7;-0.14538509
C;8;8;0.81283564
H;9;9;0.08576685
H;10;9;0.08576685
C;11;11;-0.1001421
O;12;12;-0.54779076
H;13;13;0.08189914
H;14;13;0.08189914
C;15;15;0.02323589
H;16;16;0.10667451
H;17;16;0.10667451
N;18;18;-0.5661794
H;19;19;0.38599015
C;20;20;0.76090714
N;21;21;-0.84244045
N;22;21;-0.84244045
H;23;23;0.4368946
H;24;23;0.4368946
H;25;23;0.4368946
H;26;23;0.4368946
N;27;27;-0.70156056
H;28;28;0.35125201
C;29;29;0.03700466
H;30;30;0.07104068
H;31;30;0.07104068
H;32;30;0.07104068
