C;1;1;0.42661
O;2;2;-0.44508
C;3;3;-0.48825
H;4;4;0.17096
H;5;4;0.17396
H;6;4;0.18999
N;7;7;-0.38933
H;8;8;0.28008
C;9;9;-0.04537
H;10;10;0.16219
C;11;11;-0.28407
C;12;12;0.40787
H;13;13;0.17886
H;14;13;0.16738
C;15;15;0.09729
O;16;16;-0.47774
N;17;17;-0.16431
C;18;18;-0.08058
H;19;19;0.33423
C;20;20;0.09515
N;21;21;-0.16083
H;22;22;0.21014
H;23;23;0.22265
H;24;24;0.33923
N;25;25;-0.37059
H;26;26;0.27803
C;27;27;-0.33007
H;28;28;0.16084
H;29;28;0.16629
H;30;28;0.17446
