H;1;1;0.1447949
H;2;1;0.1447949
N;3;3;-0.52329579
H;4;4;0.29464205
C;5;5;-0.28176826
H;6;6;0.15289788
C;7;7;0.27074393
C;8;8;0.74881103
H;9;9;-0.02039866
C;10;10;-0.45541731
C;11;11;0.10957931
O;12;12;-0.53796343
H;13;13;0.11448644
H;14;13;0.11448644
H;15;13;0.11448644
H;16;16;-0.01644904
H;17;16;-0.01644904
C;18;18;-0.25074583
H;19;19;0.0607846
H;20;19;0.0607846
H;21;19;0.0607846
N;22;22;-0.56626391
H;23;23;0.30734287
C;24;24;-0.04410125
H;25;25;0.07355468
H;26;25;0.07355468
H;27;25;0.07355468
