C;1;1;0.72145448
O;2;2;-0.54695785
C;3;3;-0.52652306
H;4;4;0.1447949
H;5;4;0.1447949
H;6;4;0.1447949
N;7;7;-0.52329579
H;8;8;0.29464205
C;9;9;-0.28176826
H;10;10;0.15289788
C;11;11;0.27074393
C;12;12;0.74881103
H;13;13;-0.02039866
C;14;14;-0.45541731
C;15;15;0.10957931
O;16;16;-0.53796343
H;17;17;0.11448644
H;18;17;0.11448644
H;19;17;0.11448644
H;20;20;-0.01644904
H;21;20;-0.01644904
C;22;22;-0.25074583
H;23;23;0.0607846
H;24;23;0.0607846
H;25;23;0.0607846
O;26;26;-0.56626391
H;27;27;0.30734287
