C;1;1;0.4189
O;2;2;-0.46844
C;3;3;-0.49061
H;4;4;0.16042
H;5;4;0.16533
H;6;4;0.17787
N;7;7;-0.37052
H;8;8;0.27139
C;9;9;-0.05425
H;10;10;0.16107
C;11;11;-0.27447
C;12;12;0.41333
H;13;13;0.13494
H;14;13;0.1569
C;15;15;-0.09247
O;16;16;-0.48647
H;17;17;0.12101
C;18;18;-0.43908
C;19;18;-0.4416
H;20;20;0.14447
H;21;20;0.14713
H;22;20;0.1426
H;23;20;0.14609
H;24;20;0.14756
H;25;20;0.14576
N;26;26;-0.35802
H;27;27;0.27009
C;28;28;-0.32732
H;29;29;0.14992
H;30;29;0.14951
H;31;29;0.17896
