C;1;1;0.70219457
O;2;2;-0.54470486
C;3;3;-0.50246892
H;4;4;0.13951015
H;5;4;0.13951015
H;6;4;0.13951015
N;7;7;-0.53375423
H;8;8;0.2998681
C;9;9;-0.09808664
H;10;10;0.14108798
C;11;11;-0.31582482
C;12;12;0.68911111
H;13;13;0.09258994
H;14;13;0.09258994
C;15;15;0.53708992
O;16;16;-0.52748784
H;17;17;-0.06048599
C;18;18;-0.50153194
C;19;18;-0.50153194
H;20;20;0.1143944
H;21;20;0.1143944
H;22;20;0.1143944
H;23;20;0.1143944
H;24;20;0.1143944
H;25;20;0.1143944
O;26;26;-0.56690542
H;27;27;0.30140292
