C;1;1;0.4192
O;2;2;-0.46831
C;3;3;-0.49067
H;4;4;0.16052
H;5;4;0.16538
H;6;4;0.17787
N;7;7;-0.37038
H;8;8;0.27168
C;9;9;-0.0557
H;10;10;0.1632
C;11;11;-0.26855
C;12;12;0.41299
H;13;13;0.13567
H;14;13;0.16008
C;15;15;-0.2661
O;16;16;-0.48658
H;17;17;0.14191
H;18;17;0.12449
C;19;19;-0.26804
H;20;20;0.14244
H;21;20;0.13529
C;22;22;-0.15301
H;23;23;0.11834
H;24;23;0.14074
N;25;25;-0.6197
H;26;26;0.25459
H;27;26;0.25865
N;28;28;-0.35765
H;29;29;0.27031
C;30;30;-0.32737
H;31;31;0.15009
H;32;31;0.14968
H;33;31;0.17892
