C;1;1;0.42015
O;2;2;-0.45304
C;3;3;-0.49011
H;4;4;0.16361
H;5;4;0.16556
H;6;4;0.18724
N;7;7;-0.38131
H;8;8;0.26636
C;9;9;-0.05706
H;10;10;0.17175
C;11;11;-0.26952
C;12;12;0.40552
H;13;13;0.13878
H;14;13;0.16669
C;15;15;-0.26578
O;16;16;-0.47412
H;17;17;0.15531
H;18;17;0.14253
C;19;19;-0.27852
H;20;20;0.15017
H;21;20;0.15591
C;22;22;-0.15861
H;23;23;0.18609
H;24;23;0.18309
N;25;25;-0.32257
H;26;26;0.33709
H;27;26;0.339
H;28;26;0.3358
N;29;29;-0.35689
H;30;30;0.26862
C;31;31;-0.32853
H;32;32;0.15675
H;33;32;0.15753
H;34;32;0.18251
