H;1;1;0.14716396
N;2;2;-0.52053168
H;3;3;0.29385128
C;4;4;-0.05708217
H;5;5;0.10704926
C;6;6;-0.23324421
C;7;7;0.78324877
H;8;8;0.10512847
H;9;8;0.10512847
C;10;10;0.00994268
O;11;11;-0.54815591
H;12;12;0.05535779
H;13;12;0.05535779
C;14;14;-0.29829341
H;15;15;0.14150303
H;16;15;0.14150303
C;17;17;0.03483321
H;18;18;0.13099862
H;19;18;0.13099862
N;20;20;-0.60569146
H;21;21;0.38936594
H;22;21;0.38936594
H;23;21;0.38936594
N;24;24;-0.69942315
H;25;25;0.3492038
C;26;26;0.04705682
H;27;27;0.05880232
H;28;27;0.07431864
H;29;27;0.07397962
