C;1;1;0.90518
O;2;2;-0.631138
C;3;3;-0.574123
H;4;4;0.150008
H;5;4;0.123368
H;6;4;0.126684
N;7;7;-0.955216
H;8;8;0.343734
C;9;9;0.440319
H;10;10;-0.063083
C;11;11;0.375528
C;12;12;0.844592
H;13;13;-0.073035
H;14;13;-0.09163
C;15;15;-0.581578
O;16;16;-0.759993
C;17;17;0.055052
C;18;18;0.304567
H;19;19;0.132732
N;20;20;-0.631919
C;21;21;0.401208
C;22;22;-0.331686
H;23;23;0.385245
C;24;24;-0.410595
C;25;25;-0.185789
H;26;26;0.239978
H;27;27;0.158549
C;28;28;-0.117431
H;29;29;0.124371
H;30;30;0.111446
O;31;16;-0.815346
