C;1;1;0.42025
O;2;2;-0.46423
C;3;3;-0.49071
H;4;4;0.1615
H;5;4;0.164
H;6;4;0.17775
N;7;7;-0.37623
H;8;8;0.27219
C;9;9;-0.05098
H;10;10;0.16349
C;11;11;-0.27411
C;12;12;0.41493
H;13;13;0.14769
H;14;13;0.14375
C;15;15;-0.06986
O;16;16;-0.46798
C;17;17;-0.09276
C;18;18;-0.03298
H;19;19;0.162
N;20;20;-0.26151
C;21;21;0.08475
C;22;22;-0.15758
H;23;23;0.29179
C;24;24;-0.18849
C;25;25;-0.17879
H;26;26;0.14615
H;27;27;0.15296
C;28;28;-0.16317
H;29;29;0.15151
H;30;30;0.15446
N;31;31;-0.35867
H;32;32;0.26813
C;33;33;-0.32655
H;34;34;0.14703
H;35;34;0.14917
H;36;34;0.18108
