H;1;1;0.340557
N;2;2;-0.296252
H;3;3;0.219172
C;4;4;-0.156632
H;5;5;0.140693
C;6;6;0.05575
C;7;7;0.602237
H;8;8;0.083575
H;9;8;0.019757
C;10;10;-0.25619
O;11;11;-0.445788
C;12;12;-0.094171
C;13;13;0.213944
H;14;14;0.188109
N;15;15;-0.41378
C;16;16;0.239478
C;17;17;-0.286299
H;18;18;0.378165
C;19;19;-0.291461
C;20;20;-0.148031
H;21;21;0.149217
H;22;22;0.18401
C;23;23;-0.097582
H;24;24;0.144674
H;25;25;0.151615
N;26;26;-0.419668
H;27;27;0.325473
C;28;28;-0.305619
H;29;29;0.143371
H;30;29;0.174768
H;31;29;0.148314
