H;1;1;0.13268148
N;2;2;-0.55781173
H;3;3;0.29741577
C;4;4;0.00781759
H;5;5;0.10804799
C;6;6;-0.28759559
C;7;7;0.67451937
H;8;8;0.10356623
H;9;8;0.10356623
C;10;10;0.202769
O;11;11;-0.52044555
C;12;12;-0.23914683
C;13;12;-0.23914683
H;14;14;0.15970062
C;15;15;-0.23321277
C;16;15;-0.23321277
H;17;14;0.15970062
H;18;18;0.16556694
C;19;19;0.28819597
H;20;18;0.16556694
O;21;21;-0.46562089
H;22;22;0.3397597
N;23;23;-0.5868852
H;24;24;0.31186035
C;25;25;0.00964089
H;26;26;0.06249341
H;27;26;0.06249341
H;28;26;0.06249341
