ALA,N,,,,,,,,,,,,,,,
ALA,HN,H,,,,,,,,,,,,,,
ALA,CA,,,,,,,,,,,,,,,
ALA,HA,,,,,,,,,,,,,,,
ALA,CB,,,,,,,,,,,,,,,
ALA,C,,,,,,,,,,,,,,,
ALA,HB,HB1,1HB,HB2,2HB,HB3,3HB,,,,,,,,,
ALA,O,,,,,,,,,,,,,,,
ARG,N,,,,,,,,,,,,,,,
ARG,HN,H,,,,,,,,,,,,,,
ARG,CA,,,,,,,,,,,,,,,
ARG,HA,,,,,,,,,,,,,,,
ARG,CB,,,,,,,,,,,,,,,
ARG,C,,,,,,,,,,,,,,,
ARG,HB,HB1,1HB,HB2,2HB,HB3,3HB,,,,,,,,,
ARG,CG,,,,,,,,,,,,,,,
ARG,O,,,,,,,,,,,,,,,
ARG,HG,1HG,HG1,HG2,2HG,HG3,3HG,,,,,,,,,
ARG,CD,,,,,,,,,,,,,,,
ARG,HD,1HD,HD1,HD2,2HD,HD3,3HD,,,,,,,,,
ARG,NE,,,,,,,,,,,,,,,
ARG,HE,,,,,,,,,,,,,,,
ARG,CZ,,,,,,,,,,,,,,,
ARG,NH,NH1,NH2,,,,,,,,,,,,,
ARG,HH,HH11,1HH1,HH12,2HH1,HH21,1HH2,HH22,2HH2,,,,,,,
ASN,N,,,,,,,,,,,,,,,
ASN,HN,H,,,,,,,,,,,,,,
ASN,CA,,,,,,,,,,,,,,,
ASN,HA,,,,,,,,,,,,,,,
ASN,CB,,,,,,,,,,,,,,,
ASN,C,,,,,,,,,,,,,,,
ASN,HB,HB1,1HB,HB2,2HB,HB3,3HB,,,,,,,,,
ASN,CG,,,,,,,,,,,,,,,
ASN,O,,,,,,,,,,,,,,,
ASN,OD,OD1,,,,,,,,,,,,,,
ASN,ND,ND2,,,,,,,,,,,,,,
ASN,HD,HD21,1HD2,HN21,HD22,2HD2,HN22,,,,,,,,,
ASP,N,,,,,,,,,,,,,,,
ASP,HN,H,,,,,,,,,,,,,,
ASP,CA,,,,,,,,,,,,,,,
ASP,HA,,,,,,,,,,,,,,,
ASP,CB,,,,,,,,,,,,,,,
ASP,C,,,,,,,,,,,,,,,
ASP,HB,HB1,1HB,HB2,2HB,HB3,3HB,,,,,,,,,
ASP,CG,,,,,,,,,,,,,,,
ASP,O,,,,,,,,,,,,,,,
ASP,OD,OD1,OD2,,,,,,,,,,,,,
CYS,N,,,,,,,,,,,,,,,
CYS,HN,H,,,,,,,,,,,,,,
CYS,CA,,,,,,,,,,,,,,,
CYS,HA,,,,,,,,,,,,,,,
CYS,CB,,,,,,,,,,,,,,,
CYS,C,,,,,,,,,,,,,,,
CYS,HB,HB1,1HB,HB2,2HB,HB3,3HB,,,,,,,,,
CYS,SG,S,,,,,,,,,,,,,,
CYS,O,,,,,,,,,,,,,,,
CYS,HG,HG1,,,,,,,,,,,,,,
GLN,N,,,,,,,,,,,,,,,
GLN,HN,H,,,,,,,,,,,,,,
GLN,CA,,,,,,,,,,,,,,,
GLN,HA,,,,,,,,,,,,,,,
GLN,CB,,,,,,,,,,,,,,,
GLN,C,,,,,,,,,,,,,,,
GLN,HB,HB1,1HB,HB2,2HB,HB3,3HB,,,,,,,,,
GLN,CG,,,,,,,,,,,,,,,
GLN,O,,,,,,,,,,,,,,,
GLN,HG,1HG,HG1,HG2,2HG,HG3,3HG,,,,,,,,,
GLN,CD,,,,,,,,,,,,,,,
GLN,OE,OE1,,,,,,,,,,,,,,
GLN,NE,NE2,,,,,,,,,,,,,,
GLN,HE,HE21,1HE2,HE22,2HE2,,,,,,,,,,,
GLU,N,,,,,,,,,,,,,,,
GLU,HN,H,,,,,,,,,,,,,,
GLU,CA,,,,,,,,,,,,,,,
GLU,HA,,,,,,,,,,,,,,,
GLU,CB,,,,,,,,,,,,,,,
GLU,C,,,,,,,,,,,,,,,
GLU,HB,HB1,1HB,HB2,2HB,HB3,3HB,,,,,,,,,
GLU,CG,,,,,,,,,,,,,,,
GLU,O,,,,,,,,,,,,,,,
GLU,HG,1HG,HG1,HG2,2HG,HG3,3HG,,,,,,,,,
GLU,CD,,,,,,,,,,,,,,,
GLU,OE,OE1,OE2,,,,,,,,,,,,,
