ALA,,,
ARG,,,
ASN,,,
ASP,,,
CYS,CYSH,,
GLN,,,
GLU,,,
GLY,,,
HID,HSD,HISD,HISA
HIE,HSE,HISE,HISB
HIS,HIP,HSP,HISH
ILE,,,
LEU,,,
LYS,,,
MET,,,
PHE,,,
PRO,,,
SER,,,
THR,,,
TRP,,,
TYR,,,
VAL,,,
ASH,ASPH,,
CYD,CYM,,
CYX,CYS1,CYS2,
GLH,GLUH,,
LYD,LYN,LYSH,
NALA,,,
NARG,,,
NASN,,,
NASP,,,
NCYS,,,
NGLN,,,
NGLU,,,
NGLY,,,
NHID,NHSD,,
NHIE,NHSE,,
NHIS,NHIP,NHSP,
NILE,,,
NLEU,,,
NLYS,,,
NMET,,,
NPHE,,,
NPRO,,,
NSER,,,
NTHR,,,
NTRP,,,
NTYR,,,
NVAL,,,
NASH,,,
NCYD,NCYM,,
NCYX,NCYS1,NCYS2,
NGLH,,,
NLYD,NLYN,,
cALA,,,
cARG,,,
cASN,,,
cASP,,,
cCYS,,,
cGLN,,,
cGLU,,,
cGLY,,,
cHID,cHSD,,
cHIE,cHSE,,
cHIS,cHIP,cHSP,
cILE,,,
cLEU,,,
cLYS,,,
cMET,,,
cPHE,,,
cPRO,,,
cSER,,,
cTHR,,,
cTRP,,,
cTYR,,,
cVAL,,,
cASH,,,
cCYD,cCYM,,
cCYX,cCYS1,cCYS2,
cGLH,,,
cLYD,cLYN,,
AALA,,,
AARG,,,
AASN,,,
AASP,,,
ACYS,,,
AGLN,,,
AGLU,,,
AGLY,,,
AHID,AHSD,,
AHIE,AHSE,,
AHIS,AHIP,AHSP,
AILE,,,
ALEU,,,
ALYS,,,
AMET,,,
APHE,,,
APRO,,,
ASER,,,
ATHR,,,
ATRP,,,
ATYR,,,
AVAL,,,
AASH,,,
ACYD,ACYM,,
ACYX,ACYS1,ACYS2,
AGLH,,,
ALYD,ALYN,,
BALA,,,
BARG,,,
BASN,,,
BASP,,,
BCYS,,,
BGLN,,,
BGLU,,,
BGLY,,,
BHID,BHSD,,
BHIE,BHSE,,
BHIS,BHIP,BHSP,
BILE,,,
BLEU,,,
BLYS,,,
BMET,,,
BPHE,,,
BPRO,,,
BSER,,,
BTHR,,,
BTRP,,,
BTYR,,,
BVAL,,,
BASH,,,
BCYD,BCYM,,
BCYX,BCYS1,BCYS2,
BGLH,,,
BLYD,BLYN,,
CALA,,,
CARG,,,
CASN,,,
CASP,,,
CCYS,,,
CGLN,,,
CGLU,,,
CGLY,,,
CHID,CHSD,,
CHIE,CHSE,,
CHIS,CHIP,CHSP,
CILE,,,
CLEU,,,
CLYS,,,
CMET,,,
CPHE,,,
CPRO,,,
CSER,,,
CTHR,,,
CTRP,,,
CTYR,,,
CVAL,,,
CASH,,,
CCYD,CCYM,,
CCYX,CCYS1,CCYS2,
CGLH,,,
CLYD,CLYN,,
nALA,,,
nARG,,,
nASN,,,
nASP,,,
nCYS,,,
nGLN,,,
nGLU,,,
nGLY,,,
nHID,nHSD,,
nHIE,nHSE,,
nHIS,nHIP,nHSP,
nILE,,,
nLEU,,,
nLYS,,,
nMET,,,
nPHE,,,
nPRO,,,
nSER,,,
nTHR,,,
nTRP,,,
nTYR,,,
nVAL,,,
nASH,,,
nCYD,nCYM,,
nCYX,nCYS1,nCYS2,
nGLH,,,
nLYD,nLYN,,
