name,atom,M0,P11
ALA,N,-0.397915827434,5.53445883 0.0 0.0 5.53445883 0.0 5.53445883
ALA,HN,0.252817288552,2.25995297 0.0 0.0 2.25995297 0.0 2.25995297
ALA,H,0.252817288552,2.25995297 0.0 0.0 2.25995297 0.0 2.25995297
ALA,CA,0.0280701936897,6.43829208 0.0 0.0 6.43829208 0.0 6.43829208
ALA,HA,0.116141443531,1.63813355 0.0 0.0 1.63813355 0.0 1.63813355
ALA,CB,-0.459710519126,7.03088945 0.0 0.0 7.03088945 0.0 7.03088945
ALA,C,0.520846666494,6.01972659 0.0 0.0 6.01972659 0.0 6.01972659
ALA,HB,0.140816203934,2.82761794 0.0 0.0 2.82761794 0.0 2.82761794
ALA,HB1,0.140816203934,2.82761794 0.0 0.0 2.82761794 0.0 2.82761794
ALA,1HB,0.140816203934,2.82761794 0.0 0.0 2.82761794 0.0 2.82761794
ALA,HB2,0.140816203934,2.82761794 0.0 0.0 2.82761794 0.0 2.82761794
ALA,2HB,0.140816203934,2.82761794 0.0 0.0 2.82761794 0.0 2.82761794
ALA,HB3,0.140816203934,2.82761794 0.0 0.0 2.82761794 0.0 2.82761794
ALA,3HB,0.140816203934,2.82761794 0.0 0.0 2.82761794 0.0 2.82761794
ALA,O,-0.482697857508,7.81114958 0.0 0.0 7.81114958 0.0 7.81114958
ARG,N,-0.298228042776,6.01840198 0.0 0.0 6.01840198 0.0 6.01840198
ARG,HN,0.212044965357,1.73269043 0.0 0.0 1.73269043 0.0 1.73269043
ARG,H,0.212044965357,1.73269043 0.0 0.0 1.73269043 0.0 1.73269043
ARG,CA,-0.0239214948252,5.59429062 0.0 0.0 5.59429062 0.0 5.59429062
ARG,HA,0.116143334061,0.98200981 0.0 0.0 0.98200981 0.0 0.98200981
ARG,CB,-0.298214589027,6.47656276 0.0 0.0 6.47656276 0.0 6.47656276
ARG,C,0.581300307725,5.09597823 0.0 0.0 5.09597823 0.0 5.09597823
ARG,HB,0.13857912138,2.86164396 0.0 0.0 2.86164396 0.0 2.86164396
ARG,HB2,0.13857912138,2.86164396 0.0 0.0 2.86164396 0.0 2.86164396
ARG,1HB,0.13857912138,2.86164396 0.0 0.0 2.86164396 0.0 2.86164396
ARG,HB1,0.13857912138,2.86164396 0.0 0.0 2.86164396 0.0 2.86164396
ARG,HB3,0.13857912138,2.86164396 0.0 0.0 2.86164396 0.0 2.86164396
ARG,2HB,0.13857912138,2.86164396 0.0 0.0 2.86164396 0.0 2.86164396
ARG,CG,-0.283339290596,6.85438091 0.0 0.0 6.85438091 0.0 6.85438091
ARG,O,-0.490607088881,8.2169452 0.0 0.0 8.2169452 0.0 8.2169452
ARG,HG,0.161332109138,2.66925748 0.0 0.0 2.66925748 0.0 2.66925748
ARG,HG2,0.161332109138,2.66925748 0.0 0.0 2.66925748 0.0 2.66925748
ARG,1HG,0.161332109138,2.66925748 0.0 0.0 2.66925748 0.0 2.66925748
ARG,HG1,0.161332109138,2.66925748 0.0 0.0 2.66925748 0.0 2.66925748
ARG,HG3,0.161332109138,2.66925748 0.0 0.0 2.66925748 0.0 2.66925748
ARG,2HG,0.161332109138,2.66925748 0.0 0.0 2.66925748 0.0 2.66925748
ARG,CD,-0.192741018996,6.9747658 0.0 0.0 6.9747658 0.0 6.9747658
ARG,HD,0.185632110537,1.95780596 0.0 0.0 1.95780596 0.0 1.95780596
ARG,HD2,0.185632110537,1.95780596 0.0 0.0 1.95780596 0.0 1.95780596
ARG,1HD,0.185632110537,1.95780596 0.0 0.0 1.95780596 0.0 1.95780596
ARG,HD1,0.185632110537,1.95780596 0.0 0.0 1.95780596 0.0 1.95780596
ARG,HD3,0.185632110537,1.95780596 0.0 0.0 1.95780596 0.0 1.95780596
ARG,2HD,0.185632110537,1.95780596 0.0 0.0 1.95780596 0.0 1.95780596
ARG,NE,-0.378130767172,6.50420441 0.0 0.0 6.50420441 0.0 6.50420441
ARG,HE,0.381631305942,0.50232058 0.0 0.0 0.50232058 0.0 0.50232058
ARG,CZ,0.302187088435,10.0883661 0.0 0.0 10.0883661 0.0 10.0883661
ARG,NH,-0.546389837354,5.47540552 0.0 0.0 5.47540552 0.0 5.47540552
ARG,NH1,-0.546389837354,5.47540552 0.0 0.0 5.47540552 0.0 5.47540552
ARG,NH2,-0.546389837354,5.47540552 0.0 0.0 5.47540552 0.0 5.47540552
ARG,HH,0.373392070838,1.65858713 0.0 0.0 1.65858713 0.0 1.65858713
ARG,HH11,0.373392070838,1.65858713 0.0 0.0 1.65858713 0.0 1.65858713
ARG,1HH1,0.373392070838,1.65858713 0.0 0.0 1.65858713 0.0 1.65858713
ARG,HH12,0.373392070838,1.65858713 0.0 0.0 1.65858713 0.0 1.65858713
ARG,2HH1,0.373392070838,1.65858713 0.0 0.0 1.65858713 0.0 1.65858713
ARG,HH21,0.373392070838,1.65858713 0.0 0.0 1.65858713 0.0 1.65858713
ARG,1HH2,0.373392070838,1.65858713 0.0 0.0 1.65858713 0.0 1.65858713
ARG,HH22,0.373392070838,1.65858713 0.0 0.0 1.65858713 0.0 1.65858713
ARG,2HH2,0.373392070838,1.65858713 0.0 0.0 1.65858713 0.0 1.65858713
ASN,N,-0.337177221791,15.23736936 0.0 0.0 15.23736936 0.0 15.23736936
ASN,HN,0.222709834982,-0.43534203 0.0 0.0 -0.43534203 0.0 -0.43534203
ASN,H,0.222709834982,-0.43534203 0.0 0.0 -0.43534203 0.0 -0.43534203
ASN,CA,-0.00478183634016,2.66533417 0.0 0.0 2.66533417 0.0 2.66533417
ASN,HA,0.0920403890703,2.89832005 0.0 0.0 2.89832005 0.0 2.89832005
ASN,CB,-0.339646503924,-1.6248806 0.0 0.0 -1.6248806 0.0 -1.6248806
ASN,C,0.518169066901,-0.82029855 0.0 0.0 -0.82029855 0.0 -0.82029855
ASN,HB,0.134377246144,5.23891998 0.0 0.0 5.23891998 0.0 5.23891998
ASN,HB2,0.134377246144,5.23891998 0.0 0.0 5.23891998 0.0 5.23891998
ASN,1HB,0.134377246144,5.23891998 0.0 0.0 5.23891998 0.0 5.23891998
ASN,HB1,0.134377246144,5.23891998 0.0 0.0 5.23891998 0.0 5.23891998
ASN,HB3,0.134377246144,5.23891998 0.0 0.0 5.23891998 0.0 5.23891998
ASN,2HB,0.134377246144,5.23891998 0.0 0.0 5.23891998 0.0 5.23891998
ASN,CG,0.468283405086,9.10531602 0.0 0.0 9.10531602 0.0 9.10531602
ASN,O,-0.46282154499,9.94537191 0.0 0.0 9.94537191 0.0 9.94537191
ASN,OD,-0.42223400723,7.1039513 0.0 0.0 7.1039513 0.0 7.1039513
ASN,OD1,-0.42223400723,7.1039513 0.0 0.0 7.1039513 0.0 7.1039513
ASN,ND,-0.649000915215,11.74580688 0.0 0.0 11.74580688 0.0 11.74580688
ASN,ND2,-0.649000915215,11.74580688 0.0 0.0 11.74580688 0.0 11.74580688
ASN,HD,0.322852420582,0.06570122 0.0 0.0 0.06570122 0.0 0.06570122
ASN,HD21,0.322852420582,0.06570122 0.0 0.0 0.06570122 0.0 0.06570122
ASN,1HD2,0.322852420582,0.06570122 0.0 0.0 0.06570122 0.0 0.06570122
ASN,HN21,0.322852420582,0.06570122 0.0 0.0 0.06570122 0.0 0.06570122
ASN,HD22,0.322852420582,0.06570122 0.0 0.0 0.06570122 0.0 0.06570122
ASN,2HD2,0.322852420582,0.06570122 0.0 0.0 0.06570122 0.0 0.06570122
ASN,HN22,0.322852420582,0.06570122 0.0 0.0 0.06570122 0.0 0.06570122
ASP,N,-0.501812302997,8.40081736 0.0 0.0 8.40081736 0.0 8.40081736
ASP,HN,0.291882581932,2.21219247 0.0 0.0 2.21219247 0.0 2.21219247
ASP,H,0.291882581932,2.21219247 0.0 0.0 2.21219247 0.0 2.21219247
ASP,CA,-0.00800597316759,5.48744384 0.0 0.0 5.48744384 0.0 5.48744384
ASP,HA,0.0947892612486,2.89610635 0.0 0.0 2.89610635 0.0 2.89610635
ASP,CB,-0.261139639842,0.96257105 0.0 0.0 0.96257105 0.0 0.96257105
ASP,C,0.380478776058,-1.85192008 0.0 0.0 -1.85192008 0.0 -1.85192008
ASP,HB,0.0563104382958,5.52103979 0.0 0.0 5.52103979 0.0 5.52103979
ASP,HB2,0.0563104382958,5.52103979 0.0 0.0 5.52103979 0.0 5.52103979
ASP,1HB,0.0563104382958,5.52103979 0.0 0.0 5.52103979 0.0 5.52103979
ASP,HB1,0.0563104382958,5.52103979 0.0 0.0 5.52103979 0.0 5.52103979
